epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,32301,0.68172,1.89318,2.50096,0.89365,0.31292,0.56517,0.31023,0.23718,0.28533,0.53067,0.28791,0.21689,0.71899,0.85709,2.42549,0.99473,0.000135077,0.000135077,0.000135077
88,32355.2,0.66708,0.88656,1.15571,0.93628,0.31292,0.56517,0.31023,0.23718,0.28533,0.53067,0.28791,0.21689,0.71899,0.85709,2.42549,0.99473,0.000126078,0.000126078,0.000126078
89,32449.6,0.6862,0.91053,1.19275,0.94477,0.3176,0.5782,0.30938,0.23771,0.28789,0.53199,0.28802,0.21465,0.71414,0.86277,2.44426,0.98961,0.000117079,0.000117079,0.000117079
90,32543.5,0.63376,0.83801,1.08825,0.94068,0.3176,0.5782,0.30938,0.23771,0.28789,0.53199,0.28802,0.21465,0.71414,0.86277,2.44426,0.98961,0.00010808,0.00010808,0.00010808
91,32588.5,0.57998,0.71896,1.2174,0.94122,0.31728,0.58462,0.31233,0.24092,0.28885,0.5341,0.29267,0.21862,0.71345,0.87546,2.41971,0.98834,9.9081e-05,9.9081e-05,9.9081e-05
92,32676.8,0.60451,0.6674,1.33195,0.96586,0.30392,0.56973,0.30474,0.23591,0.28191,0.53423,0.28075,0.21262,0.71724,0.88616,2.43942,0.98856,9.00819e-05,9.00819e-05,9.00819e-05
93,32739.6,0.59956,0.68118,1.1295,0.90152,0.30392,0.56973,0.30474,0.23591,0.28191,0.53423,0.28075,0.21262,0.71724,0.88616,2.43942,0.98856,8.10828e-05,8.10828e-05,8.10828e-05
94,32780.2,0.58776,0.74223,1.1824,0.91406,0.29887,0.57031,0.29178,0.22572,0.27516,0.51247,0.26692,0.20418,0.71727,0.88233,2.45917,0.98565,7.20837e-05,7.20837e-05,7.20837e-05
95,32826,0.53517,0.71355,1.1446,0.9067,0.29058,0.55296,0.28432,0.2217,0.26583,0.51077,0.26183,0.1997,0.72252,0.88672,2.46381,0.98285,6.30846e-05,6.30846e-05,6.30846e-05
96,32935.9,0.67661,0.86829,1.17297,0.93347,0.29058,0.55296,0.28432,0.2217,0.26583,0.51077,0.26183,0.1997,0.72252,0.88672,2.46381,0.98285,5.40855e-05,5.40855e-05,5.40855e-05
97,33048.9,0.60347,0.74176,1.0484,0.90672,0.29221,0.55812,0.28538,0.22077,0.26766,0.52533,0.26153,0.19816,0.72496,0.89093,2.47131,0.97985,4.50864e-05,4.50864e-05,4.50864e-05
98,33140.7,0.60308,0.7376,1.08869,0.88657,0.29221,0.55812,0.28538,0.22077,0.26766,0.52533,0.26153,0.19816,0.72496,0.89093,2.47131,0.97985,3.60873e-05,3.60873e-05,3.60873e-05
99,33180.3,0.55478,0.77781,1.12985,0.87957,0.29921,0.56748,0.28936,0.22293,0.26317,0.52351,0.26302,0.19942,0.72935,0.90393,2.46243,0.9801,2.70882e-05,2.70882e-05,2.70882e-05
100,33255.3,0.57383,0.73964,1.17535,0.91434,0.30052,0.57352,0.29366,0.22542,0.26816,0.52716,0.26905,0.20259,0.7281,0.90133,2.46106,0.97825,1.80891e-05,1.80891e-05,1.80891e-05
1,632.127,1.14669,2.98589,3.40722,1.25396,0.03132,0.48824,0.22116,0.15429,0.02178,0.35332,0.13989,0.10071,1.04602,2.04138,3.44657,1.23218,0.000271356,0.000271356,0.000271356
1,784.341,1.14669,2.98589,3.40722,1.25396,0.03054,0.64499,0.25249,0.18636,0.02385,0.52725,0.1626,0.11777,1.04602,2.04138,3.44657,1.23218,0.000271356,0.000271356,0.000271356
2,1310.36,1.06076,2.05135,2.10281,1.19689,0.61655,0.50186,0.57321,0.39922,0.49352,0.38631,0.4486,0.30933,1.20653,1.83046,2.34624,1.32526,0.000543587,0.000543587,0.000543587
3,1854.53,1.0366,1.91611,1.66155,1.18137,0.51051,0.51677,0.51607,0.31334,0.37377,0.39761,0.38106,0.24768,1.34997,2.09101,2.14858,1.40125,0.000810321,0.000810321,0.000810321
4,2340.27,1.03025,1.84007,1.52376,1.17538,0.53885,0.66999,0.60918,0.40893,0.41809,0.5417,0.48679,0.31228,1.08462,1.67155,1.8168,1.28937,0.00080826,0.00080826,0.00080826
5,2780.45,0.98933,1.74832,1.44649,1.16411,0.50366,0.64674,0.60508,0.42889,0.39493,0.51962,0.47804,0.35685,1.11545,1.5439,1.68223,1.27193,0.000800013,0.000800013,0.000800013
6,3173.42,0.93385,1.65335,1.3713,1.13712,0.55917,0.59071,0.57466,0.42097,0.43928,0.47193,0.47642,0.35403,1.06214,1.51164,1.64578,1.25847,0.000791767,0.000791767,0.000791767
7,3583.48,0.90055,1.60083,1.26326,1.10678,0.57251,0.6001,0.6186,0.40081,0.46825,0.47391,0.49604,0.34132,1.15362,1.46745,1.67801,1.32329,0.00078352,0.00078352,0.00078352
8,4028.84,0.89425,1.62037,1.25635,1.10856,0.62657,0.65192,0.65111,0.46315,0.50223,0.52598,0.5249,0.36776,1.01701,1.33549,1.59787,1.18196,0.000775273,0.000775273,0.000775273
9,4456.44,0.87243,1.56569,1.23154,1.09306,0.63682,0.57267,0.62872,0.45679,0.45032,0.52624,0.52343,0.38,1.08478,1.42357,1.57957,1.26806,0.000767026,0.000767026,0.000767026
10,4838.28,0.85994,1.52384,1.17093,1.09477,0.53056,0.61381,0.63209,0.47757,0.43103,0.5082,0.51826,0.36976,1.02969,1.3164,1.55244,1.23695,0.00075878,0.00075878,0.00075878
11,5191.02,0.85176,1.54997,1.14974,1.08801,0.55255,0.73835,0.65441,0.47845,0.42148,0.60202,0.52277,0.38152,0.97484,1.3544,1.39565,1.21408,0.000750533,0.000750533,0.000750533
12,5527.73,0.84123,1.50449,1.13039,1.07116,0.59687,0.65484,0.66896,0.49519,0.47731,0.53009,0.5487,0.37915,0.98711,1.39416,1.45125,1.20434,0.000742286,0.000742286,0.000742286
13,5899.53,0.83583,1.47872,1.11588,1.06989,0.61941,0.65314,0.6576,0.47084,0.50065,0.52814,0.53228,0.38685,1.01013,1.38108,1.44496,1.23079,0.00073404,0.00073404,0.00073404
14,6272.31,0.81826,1.4366,1.06914,1.07003,0.66364,0.66681,0.66041,0.44173,0.5375,0.53523,0.53316,0.35255,1.11054,1.34087,1.53191,1.29029,0.000725793,0.000725793,0.000725793
15,6629.85,0.81907,1.46853,1.06597,1.05936,0.5576,0.70418,0.63879,0.4515,0.44274,0.60369,0.52267,0.35425,1.02599,1.35102,1.4658,1.26992,0.000717546,0.000717546,0.000717546
16,7013.58,0.7853,1.42303,1.04191,1.04371,0.58687,0.67766,0.64612,0.51329,0.49137,0.57367,0.53685,0.4053,0.87562,1.27141,1.40789,1.18178,0.000709299,0.000709299,0.000709299
17,7380.71,0.8127,1.37689,1.04622,1.05301,0.60549,0.61155,0.67529,0.5102,0.50729,0.49983,0.56327,0.39841,0.94447,1.49335,1.41105,1.21096,0.000701053,0.000701053,0.000701053
18,7717.26,0.80224,1.39621,1.03986,1.05238,0.56629,0.6522,0.66514,0.49829,0.44299,0.52073,0.53969,0.37499,0.94385,1.44061,1.40544,1.2652,0.000692806,0.000692806,0.000692806
19,8421.61,0.78488,1.36649,1.00364,1.03906,0.52982,0.71119,0.63799,0.48887,0.43363,0.59598,0.51011,0.37271,0.89597,1.23429,1.38907,1.2344,0.000684559,0.000684559,0.000684559
20,8764.63,0.77248,1.38773,0.99532,1.03528,0.61151,0.634,0.66279,0.51101,0.49312,0.50277,0.52998,0.39162,0.87825,1.28761,1.35142,1.17705,0.000676313,0.000676313,0.000676313
21,9114,0.76401,1.31017,0.979,1.03581,0.65774,0.68392,0.68169,0.51288,0.53042,0.55659,0.55596,0.40353,0.87029,1.20292,1.34978,1.12845,0.000668066,0.000668066,0.000668066
22,11886.8,0.77992,1.34757,1.00765,1.04819,0.58212,0.66406,0.61224,0.46771,0.47936,0.55088,0.50621,0.37142,0.91017,1.26646,1.40535,1.17296,0.000659819,0.000659819,0.000659819
23,13874.8,0.76523,1.37395,0.97272,1.03095,0.6359,0.6994,0.6466,0.46989,0.64512,0.4881,0.55148,0.39343,1.01166,1.37623,1.37095,1.28286,0.000651573,0.000651573,0.000651573
